id,v1,v2,real,predicted
10270,3.1.1,3.1.2,0,1
10270,4.1.1,4.1.2,0,1
10314,1.0.2,1.0.3,0,1
10341,1.0.8,1.0.9,0,1
10358,1.0.2,1.0.3,0,1
10358,1.0.5,1.0.6,0,1
10358,2.0.0,2.0.1,0,1
10393,0.1.4,0.1.5,0,1
10431,1.0.1,1.0.2,0,1
10463,1.0.3,1.0.4,0,1
10526,0.1.0,0.1.1,0,1
10530,1.0.4,1.0.5,0,1
10549,1.0.1,1.0.2,0,1
10638,2.1.2,2.1.3,0,1
10638,2.3.1,2.3.2,0,1
10646,2.3.0,2.3.1,0,1
10658,1.1.3,1.1.4,0,1
10660,1.0.5,1.0.6,0,1
1071,0.1.0,0.1.1,0,1
10752,1.0.0,1.0.1,0,1
10004,1.1.0,1.2.0,1,0
10004,1.2.0,1.3.0,1,0
10004,1.3.0,1.4.0,1,0
10004,1.4.0,1.5.0,1,0
10018,1.1.0,1.2.0,1,0
10018,1.2.0,1.3.0,1,0
10018,1.3.0,1.4.0,1,0
10027,1.0.8,1.1.0,1,0
10047,1.0.0,1.1.0,1,0
10049,1.0.0,1.1.0,1,0
10049,1.2.0,1.3.0,1,0
10057,2.0.0,2.1.0,1,0
10057,2.1.0,2.2.0,1,0
10059,2.0.0,2.1.0,1,0
10059,2.1.0,2.2.0,1,0
10060,1.0.0,1.1.0,1,0
10060,1.1.0,1.2.0,1,0
10060,1.2.0,1.3.0,1,0
10062,1.0.0,1.1.0,1,0
10062,1.1.0,1.2.0,1,0
10012,1.0.0,2.0.0,2,0
10012,2.0.0,3.0.0,2,0
10057,1.1.0,2.0.0,2,0
10059,1.1.0,2.0.0,2,0
1007,1.3.0,2.0.0,2,1
10117,1.0.1,2.0.0,2,0
10148,0.2.3,1.0.0,2,1
10163,1.0.0,2.0.0,2,0
10163,2.0.1,3.0.0,2,1
10181,1.1.0,2.0.0,2,1
102,2.2.8,3.0.0,2,0
10200,1.0.2,2.0.0,2,1
10200,2.3.0,3.0.0,2,1
1023,1.0.2,2.0.0,2,0
10258,1.0.6,2.0.0,2,0
10270,1.1.1,2.0.0,2,1
10270,2.1.0,3.0.0,2,0
10270,3.1.2,4.0.0,2,1
10340,1.0.5,2.0.0,2,0
10341,1.0.10,2.0.0,2,0
12556,0.1.3,0.1.4,0,2
17206,1.1.0,1.2.0,1,2
18177,4.0.7,4.1.0,1,2
19063,1.0.0,1.0.1,0,2
19513,3.0.0,3.1.0,1,2
21122,1.1.0,1.2.0,1,2
21266,0.4.2,0.5.0,1,2
21268,0.5.6,0.6.0,1,2
22096,1.0.0-latest,1.0.1,0,2
24993,1.0.4,1.0.5,0,2
26570,1.0.1,1.0.2,0,2
27915,1.0.0,1.0.1,0,2
30103,0.0.4,0.0.5,0,2
30392,2.0.0,2.0.1,0,2
30722,2.0.0,2.0.1,0,2
31275,1.3.0,1.4.0,1,2
32757,1.8.144.2,1.8.152.1,0,2
35230,0.0.3,0.0.4,0,2
36168,6.5.1.1,6.6.0-alpha2,1,2
36241,1.0.0,1.1.0,1,2
40454,1.0.1,1.1.0,1,2
